执行程序,查询结果,总共耗时(秒)
/data1/hzy/neo4j/RTP-main/build/ic1o,"'friendId': '97873', 'friendLastName': ""Glazer-Ta'asa"", 'friendBirthday': '481593600000', 'friendCreationDate': '1266145398687', 'friendGender': 'male', 'friendBrowserUsed': 'Firefox', 'friendLocationIp': '109.74.33.122', 'friendEmails': None, 'friendLanguages': None, 'friendCityName': 'Luanda', 'friendUniversities': [['Queen_Arwa_University', '2006', ""Sana'a""]], 'friendCompanies': [[null]]",14.037
/data1/hzy/neo4j/RTP-main/build/ic1o,"'friendId': '97873', 'friendLastName': ""Glazer-Ta'asa"", 'friendBirthday': '481593600000', 'friendCreationDate': '1266145398687', 'friendGender': 'male', 'friendBrowserUsed': 'Firefox', 'friendLocationIp': '109.74.33.122', 'friendEmails': None, 'friendLanguages': None, 'friendCityName': 'Luanda', 'friendUniversities': [['Queen_Arwa_University', '2006', ""Sana'a""]], 'friendCompanies': [[null]]",12.973
/data1/hzy/neo4j/RTP-main/build/ic1o,"'friendId': '97873', 'friendLastName': ""Glazer-Ta'asa"", 'friendBirthday': '481593600000', 'friendCreationDate': '1266145398687', 'friendGender': 'male', 'friendBrowserUsed': 'Firefox', 'friendLocationIp': '109.74.33.122', 'friendEmails': None, 'friendLanguages': None, 'friendCityName': 'Luanda', 'friendUniversities': [['Queen_Arwa_University', '2006', ""Sana'a""]], 'friendCompanies': [[null]]",13.817
/data1/hzy/neo4j/RTP-main/build/ic1o,"'friendId': '97873', 'friendLastName': ""Glazer-Ta'asa"", 'friendBirthday': '481593600000', 'friendCreationDate': '1266145398687', 'friendGender': 'male', 'friendBrowserUsed': 'Firefox', 'friendLocationIp': '109.74.33.122', 'friendEmails': None, 'friendLanguages': None, 'friendCityName': 'Luanda', 'friendUniversities': [['Queen_Arwa_University', '2006', ""Sana'a""]], 'friendCompanies': [[null]]",13.403
/data1/hzy/neo4j/RTP-main/build/ic2o,"'personId': '998', 'personFirstName': 'Carlos', 'personLastName': 'Abarca', 'postOrCommentId': '35184515313495', 'postOrCommentContent': 'thanks', 'postOrCommentCreationDate': '1347373179735'",9.059
/data1/hzy/neo4j/RTP-main/build/ic2o,"'personId': '998', 'personFirstName': 'Carlos', 'personLastName': 'Abarca', 'postOrCommentId': '35184515313495', 'postOrCommentContent': 'thanks', 'postOrCommentCreationDate': '1347373179735'",8.894
/data1/hzy/neo4j/RTP-main/build/ic2o,"'personId': '998', 'personFirstName': 'Carlos', 'personLastName': 'Abarca', 'postOrCommentId': '35184515313495', 'postOrCommentContent': 'thanks', 'postOrCommentCreationDate': '1347373179735'",9.362
/data1/hzy/neo4j/RTP-main/build/ic2o,"'personId': '998', 'personFirstName': 'Carlos', 'personLastName': 'Abarca', 'postOrCommentId': '35184515313495', 'postOrCommentContent': 'thanks', 'postOrCommentCreationDate': '1347373179735'",9.867
/data1/hzy/neo4j/RTP-main/build/ic3o,"'friendId': '4398046609460', 'friendFirstName': 'Lei', 'friendLastName': 'Xu', 'xCount': 0, 'yCount': 0, 'xyCount': 0",15.031
/data1/hzy/neo4j/RTP-main/build/ic3o,"'friendId': '4398046609460', 'friendFirstName': 'Lei', 'friendLastName': 'Xu', 'xCount': 0, 'yCount': 0, 'xyCount': 0",16.295
/data1/hzy/neo4j/RTP-main/build/ic3o,"'friendId': '4398046609460', 'friendFirstName': 'Lei', 'friendLastName': 'Xu', 'xCount': 0, 'yCount': 0, 'xyCount': 0",15.152
/data1/hzy/neo4j/RTP-main/build/ic3o,"'friendId': '4398046609460', 'friendFirstName': 'Lei', 'friendLastName': 'Xu', 'xCount': 0, 'yCount': 0, 'xyCount': 0",14.525
/data1/hzy/neo4j/RTP-main/build/ic4o,"'tagName': 'Tina_Turner', 'postCount': 0",9.178
/data1/hzy/neo4j/RTP-main/build/ic4o,"'tagName': 'Tina_Turner', 'postCount': 0",9.257
/data1/hzy/neo4j/RTP-main/build/ic4o,"'tagName': 'Tina_Turner', 'postCount': 0",7.953
/data1/hzy/neo4j/RTP-main/build/ic4o,"'tagName': 'Tina_Turner', 'postCount': 0",10.345
/data1/hzy/neo4j/RTP-main/build/ic5o,"'forumName': 'Wall of Fekri Al Alhouthi'), 'postCount': 0",98.387
/data1/hzy/neo4j/RTP-main/build/ic5o,"'forumName': 'Wall of Fekri Al Alhouthi'), 'postCount': 0",100.392
/data1/hzy/neo4j/RTP-main/build/ic5o,"'forumName': 'Wall of Fekri Al Alhouthi'), 'postCount': 0",98.508
