执行程序,查询结果,总共耗时(秒)
/data1/lq/RTP-main/build/is1,"'firstName': 'Mahinda', 'lastName': 'Perera', 'birthday': '628646400000', 'locationIP': '119.235.7.103', 'browserUsed': 'Firefox', 'cityId': '88773575', 'gender': 'male', 'creationDate': '1266161530447'",1.541
/data1/lq/RTP-main/build/is1,"'firstName': 'Mahinda', 'lastName': 'Perera', 'birthday': '628646400000', 'locationIP': '119.235.7.103', 'browserUsed': 'Firefox', 'cityId': '88773575', 'gender': 'male', 'creationDate': '1266161530447'",0.812
/data1/lq/RTP-main/build/is1,"'firstName': 'Mahinda', 'lastName': 'Perera', 'birthday': '628646400000', 'locationIP': '119.235.7.103', 'browserUsed': 'Firefox', 'cityId': '88773575', 'gender': 'male', 'creationDate': '1266161530447'",0.817
/data1/lq/RTP-main/build/is1,"'firstName': 'Mahinda', 'lastName': 'Perera', 'birthday': '628646400000', 'locationIP': '119.235.7.103', 'browserUsed': 'Firefox', 'cityId': '88773575', 'gender': 'male', 'creationDate': '1266161530447'",0.825
/data1/lq/RTP-main/build/is2,"'messageId': 27412061, 'messageCreationDate': 1283153622631, 'messageContent': About Haile Selassie I_  a future golden age of etAbout Phil Spector_ Inter, 'postId': 76988379, 'personId': , 'personFirstName': , 'personLastName':",4.605
/data1/lq/RTP-main/build/is2,"'messageId': 27412061, 'messageCreationDate': 1283153622631, 'messageContent': About Haile Selassie I_  a future golden age of etAbout Phil Spector_ Inter, 'postId': 76988379, 'personId': , 'personFirstName': , 'personLastName':",1.928
/data1/lq/RTP-main/build/is2,"'messageId': 27412061, 'messageCreationDate': 1283153622631, 'messageContent': About Haile Selassie I_  a future golden age of etAbout Phil Spector_ Inter, 'postId': 76988379, 'personId': , 'personFirstName': , 'personLastName':",1.907
/data1/lq/RTP-main/build/is2,"'messageId': 27412061, 'messageCreationDate': 1283153622631, 'messageContent': About Haile Selassie I_  a future golden age of etAbout Phil Spector_ Inter, 'postId': 76988379, 'personId': , 'personFirstName': , 'personLastName':",1.951
/data1/lq/RTP-main/build/is3,"'personId': '68794454', 'firstName': 'Marek', 'lastName': 'Zabłocki', 'friendshipCreationDate': '0'",1.074
/data1/lq/RTP-main/build/is3,"'personId': '68794454', 'firstName': 'Marek', 'lastName': 'Zabłocki', 'friendshipCreationDate': '0'",0.941
/data1/lq/RTP-main/build/is3,"'personId': '68794454', 'firstName': 'Marek', 'lastName': 'Zabłocki', 'friendshipCreationDate': '0'",0.857
/data1/lq/RTP-main/build/is3,"'personId': '68794454', 'firstName': 'Marek', 'lastName': 'Zabłocki', 'friendshipCreationDate': '0'",0.881
/data1/lq/RTP-main/build/is4,"'messageCreationDate': '1319287344031', 'messageContent': 'thanks'",1.071
/data1/lq/RTP-main/build/is4,"'messageCreationDate': '1319287344031', 'messageContent': 'thanks'",0.882
/data1/lq/RTP-main/build/is4,"'messageCreationDate': '1319287344031', 'messageContent': 'thanks'",0.842
/data1/lq/RTP-main/build/is4,"'messageCreationDate': '1319287344031', 'messageContent': 'thanks'",0.907
/data1/lq/RTP-main/build/is5,"'personId': '68732189', 'firstName': 'Manuel', 'lastName': 'Rios'",1.013
/data1/lq/RTP-main/build/is5,"'personId': '68732189', 'firstName': 'Manuel', 'lastName': 'Rios'",0.914
/data1/lq/RTP-main/build/is5,"'personId': '68732189', 'firstName': 'Manuel', 'lastName': 'Rios'",0.846
/data1/lq/RTP-main/build/is5,"'personId': '68732189', 'firstName': 'Manuel', 'lastName': 'Rios'",0.836
/data1/lq/RTP-main/build/is6,"'forumId': '67581925', 'forumTitle': 'Wall of Koji Yamamoto', 'moderatorId': '68679760', 'moderatorFirstName': 'Koji', 'moderatorLastName': 'Yamamoto'",2.444
/data1/lq/RTP-main/build/is6,"'forumId': '67581925', 'forumTitle': 'Wall of Koji Yamamoto', 'moderatorId': '68679760', 'moderatorFirstName': 'Koji', 'moderatorLastName': 'Yamamoto'",1.835
/data1/lq/RTP-main/build/is6,"'forumId': '67581925', 'forumTitle': 'Wall of Koji Yamamoto', 'moderatorId': '68679760', 'moderatorFirstName': 'Koji', 'moderatorLastName': 'Yamamoto'",1.930
/data1/lq/RTP-main/build/is6,"'forumId': '67581925', 'forumTitle': 'Wall of Koji Yamamoto', 'moderatorId': '68679760', 'moderatorFirstName': 'Koji', 'moderatorLastName': 'Yamamoto'",1.835
/data1/lq/RTP-main/build/is7,"'commentId': '19968703', 'commentContent': 'thx', 'commentCreationDate': '1327884445513', 'replyAuthorId': '68648439', 'replyAuthorFirstName': 'Koji', 'replyAuthorLastName': 'Suzuki', 'replyAuthorKnowsOriginalMessageAuthor': true",53.904
/data1/lq/RTP-main/build/is7,"'commentId': '19968703', 'commentContent': 'thx', 'commentCreationDate': '1327884445513', 'replyAuthorId': '68648439', 'replyAuthorFirstName': 'Koji', 'replyAuthorLastName': 'Suzuki', 'replyAuthorKnowsOriginalMessageAuthor': true",4.958
/data1/lq/RTP-main/build/is7,"'commentId': '19968703', 'commentContent': 'thx', 'commentCreationDate': '1327884445513', 'replyAuthorId': '68648439', 'replyAuthorFirstName': 'Koji', 'replyAuthorLastName': 'Suzuki', 'replyAuthorKnowsOriginalMessageAuthor': true",4.915
/data1/lq/RTP-main/build/is7,"'commentId': '19968703', 'commentContent': 'thx', 'commentCreationDate': '1327884445513', 'replyAuthorId': '68648439', 'replyAuthorFirstName': 'Koji', 'replyAuthorLastName': 'Suzuki', 'replyAuthorKnowsOriginalMessageAuthor': true",5.001
/data1/lq/RTP-main/build/ic1,"'friendId': '68650950', 'friendLastName': 'Aa', 'friendBirthday': '402278400000', 'friendCreationDate': '1310317356242', 'friendGender': 'male', 'friendBrowserUsed': 'Chrome', 'friendLocationIp': '81.247.36.40', 'friendEmails': None, 'friendLanguages': None, 'friendCityName': 'Medway', 'friendUniversities': [['Université_catholique_de_Louvain', '0', 'Ottignies-Louvain-la-Neuve']], 'friendCompanies': []",2721.700
/data1/lq/RTP-main/build/ic1,"'friendId': '68650950', 'friendLastName': 'Aa', 'friendBirthday': '402278400000', 'friendCreationDate': '1310317356242', 'friendGender': 'male', 'friendBrowserUsed': 'Chrome', 'friendLocationIp': '81.247.36.40', 'friendEmails': None, 'friendLanguages': None, 'friendCityName': 'Medway', 'friendUniversities': [['Université_catholique_de_Louvain', '0', 'Ottignies-Louvain-la-Neuve']], 'friendCompanies': []",247.333
/data1/lq/RTP-main/build/ic1,"'friendId': '68650950', 'friendLastName': 'Aa', 'friendBirthday': '402278400000', 'friendCreationDate': '1310317356242', 'friendGender': 'male', 'friendBrowserUsed': 'Chrome', 'friendLocationIp': '81.247.36.40', 'friendEmails': None, 'friendLanguages': None, 'friendCityName': 'Medway', 'friendUniversities': [['Université_catholique_de_Louvain', '0', 'Ottignies-Louvain-la-Neuve']], 'friendCompanies': []",261.117
/data1/lq/RTP-main/build/ic1,"'friendId': '68650950', 'friendLastName': 'Aa', 'friendBirthday': '402278400000', 'friendCreationDate': '1310317356242', 'friendGender': 'male', 'friendBrowserUsed': 'Chrome', 'friendLocationIp': '81.247.36.40', 'friendEmails': None, 'friendLanguages': None, 'friendCityName': 'Medway', 'friendUniversities': [['Université_catholique_de_Louvain', '0', 'Ottignies-Louvain-la-Neuve']], 'friendCompanies': []",252.800
/data1/lq/RTP-main/build/ic2,"'personId': '68789118', 'personFirstName': 'Carlos', 'personLastName': 'Abarca', 'postOrCommentId': '37030763', 'postOrCommentContent': 'roflol', 'postOrCommentCreationDate': '1347241222622'",27.898
/data1/lq/RTP-main/build/ic2,"'personId': '68789118', 'personFirstName': 'Carlos', 'personLastName': 'Abarca', 'postOrCommentId': '37030763', 'postOrCommentContent': 'roflol', 'postOrCommentCreationDate': '1347241222622'",2.637
/data1/lq/RTP-main/build/ic2,"'personId': '68789118', 'personFirstName': 'Carlos', 'personLastName': 'Abarca', 'postOrCommentId': '37030763', 'postOrCommentContent': 'roflol', 'postOrCommentCreationDate': '1347241222622'",2.630
/data1/lq/RTP-main/build/ic2,"'personId': '68789118', 'personFirstName': 'Carlos', 'personLastName': 'Abarca', 'postOrCommentId': '37030763', 'postOrCommentContent': 'roflol', 'postOrCommentCreationDate': '1347241222622'",2.428
/data1/lq/RTP-main/build/ic3,"'friendId': '68703564', 'friendFirstName': 'Houari', 'friendLastName': 'Abdelli', 'xCount': 0, 'yCount': 0, 'xyCount': 0",120.764
/data1/lq/RTP-main/build/ic3,"'friendId': '68703564', 'friendFirstName': 'Houari', 'friendLastName': 'Abdelli', 'xCount': 0, 'yCount': 0, 'xyCount': 0",40.520
/data1/lq/RTP-main/build/ic3,"'friendId': '68703564', 'friendFirstName': 'Houari', 'friendLastName': 'Abdelli', 'xCount': 0, 'yCount': 0, 'xyCount': 0",38.090
/data1/lq/RTP-main/build/ic3,"'friendId': '68703564', 'friendFirstName': 'Houari', 'friendLastName': 'Abdelli', 'xCount': 0, 'yCount': 0, 'xyCount': 0",37.613
/data1/lq/RTP-main/build/ic4,"'tagName': 'Robert_John_Mutt_Lange', 'postCount': 0",8.280
/data1/lq/RTP-main/build/ic4,"'tagName': 'Robert_John_Mutt_Lange', 'postCount': 0",2.445
/data1/lq/RTP-main/build/ic4,"'tagName': 'Robert_John_Mutt_Lange', 'postCount': 0",2.267
/data1/lq/RTP-main/build/ic4,"'tagName': 'Robert_John_Mutt_Lange', 'postCount': 0",2.411
/data1/lq/RTP-main/build/ic5,"'forumName': 'Album 8 of Albert Aa'), 'postCount': 19",5033.207
/data1/lq/RTP-main/build/ic5,"'forumName': 'Album 8 of Albert Aa'), 'postCount': 19",922.229
/data1/lq/RTP-main/build/ic5,"'forumName': 'Album 8 of Albert Aa'), 'postCount': 19",819.459
/data1/lq/RTP-main/build/ic5,"'forumName': 'Album 8 of Albert Aa'), 'postCount': 19",808.049
/data1/lq/RTP-main/build/ic6,"'tagName': '1st_Born_Second', 'postCount': 0",135.863
/data1/lq/RTP-main/build/ic6,"'tagName': '1st_Born_Second', 'postCount': 0",2.777
/data1/lq/RTP-main/build/ic6,"'tagName': '1st_Born_Second', 'postCount': 0",2.908
/data1/lq/RTP-main/build/ic6,"'tagName': '1st_Born_Second', 'postCount': 0",2.752
/data1/lq/RTP-main/build/ic7,"'personId': '68633216', 'personFirstName': 'Charles', 'personLastName': 'Smith', 'likeCreationDate': '0', 'commentOrPostId': '69743481', 'commentOrPostContent': 'About Imelda Marcos_ ios Visitasion RoAbout Leon Trotsky_ never rehabilitatAbout Isaac Hayes_ ries South Park. A', 'minutesLatency': -87776688, 'isNew': true",23.474
/data1/lq/RTP-main/build/ic7,"'personId': '68633216', 'personFirstName': 'Charles', 'personLastName': 'Smith', 'likeCreationDate': '0', 'commentOrPostId': '69743481', 'commentOrPostContent': 'About Imelda Marcos_ ios Visitasion RoAbout Leon Trotsky_ never rehabilitatAbout Isaac Hayes_ ries South Park. A', 'minutesLatency': -87776688, 'isNew': true",5.954
