执行程序,查询结果,总共耗时(秒)
./build/is1,"'firstName': 'Mahinda', 'lastName': 'Perera', 'birthday': '628646400000', 'locationIP': '119.235.7.103', 'browserUsed': 'Firefox', 'cityId': '88773575', 'gender': 'male', 'creationDate': '1266161530447'",2.775
./build/is1,"'firstName': 'Mahinda', 'lastName': 'Perera', 'birthday': '628646400000', 'locationIP': '119.235.7.103', 'browserUsed': 'Firefox', 'cityId': '88773575', 'gender': 'male', 'creationDate': '1266161530447'",2.626
./build/is1,"'firstName': 'Mahinda', 'lastName': 'Perera', 'birthday': '628646400000', 'locationIP': '119.235.7.103', 'browserUsed': 'Firefox', 'cityId': '88773575', 'gender': 'male', 'creationDate': '1266161530447'",2.449
./build/is1,"'firstName': 'Mahinda', 'lastName': 'Perera', 'birthday': '628646400000', 'locationIP': '119.235.7.103', 'browserUsed': 'Firefox', 'cityId': '88773575', 'gender': 'male', 'creationDate': '1266161530447'",2.503
./build/is2,"'messageId': 27412061, 'messageCreationDate': 1283153622631, 'messageContent': About Haile Selassie I_  a future golden age of etAbout Phil Spector_ Inter, 'postId': 76988379, 'personId': , 'personFirstName': , 'personLastName':",4.211
./build/is2,"'messageId': 27412061, 'messageCreationDate': 1283153622631, 'messageContent': About Haile Selassie I_  a future golden age of etAbout Phil Spector_ Inter, 'postId': 76988379, 'personId': , 'personFirstName': , 'personLastName':",4.249
./build/is2,"'messageId': 27412061, 'messageCreationDate': 1283153622631, 'messageContent': About Haile Selassie I_  a future golden age of etAbout Phil Spector_ Inter, 'postId': 76988379, 'personId': , 'personFirstName': , 'personLastName':",4.012
./build/is2,"'messageId': 27412061, 'messageCreationDate': 1283153622631, 'messageContent': About Haile Selassie I_  a future golden age of etAbout Phil Spector_ Inter, 'postId': 76988379, 'personId': , 'personFirstName': , 'personLastName':",3.959
./build/is3,"'personId': '68794454', 'firstName': 'Marek', 'lastName': 'Zabłocki', 'friendshipCreationDate': '0'",2.624
./build/is3,"'personId': '68794454', 'firstName': 'Marek', 'lastName': 'Zabłocki', 'friendshipCreationDate': '0'",2.788
./build/is3,"'personId': '68794454', 'firstName': 'Marek', 'lastName': 'Zabłocki', 'friendshipCreationDate': '0'",2.599
./build/is3,"'personId': '68794454', 'firstName': 'Marek', 'lastName': 'Zabłocki', 'friendshipCreationDate': '0'",2.685
./build/is4,"'messageCreationDate': '1319287344031', 'messageContent': 'thanks'",2.494
