执行程序,查询结果,总共耗时(秒)
/data1/hzy/neo4j/RTP-main/build/is1,"'firstName': 'Mahinda', 'lastName': 'Perera', 'birthday': '628646400000', 'locationIP': '119.235.7.103', 'browserUsed': 'Firefox', 'cityId': '88773575', 'gender': 'male', 'creationDate': '1266161530447'",3.489
/data1/hzy/neo4j/RTP-main/build/is1,"'firstName': 'Mahinda', 'lastName': 'Perera', 'birthday': '628646400000', 'locationIP': '119.235.7.103', 'browserUsed': 'Firefox', 'cityId': '88773575', 'gender': 'male', 'creationDate': '1266161530447'",1.228
/data1/hzy/neo4j/RTP-main/build/is1,"'firstName': 'Mahinda', 'lastName': 'Perera', 'birthday': '628646400000', 'locationIP': '119.235.7.103', 'browserUsed': 'Firefox', 'cityId': '88773575', 'gender': 'male', 'creationDate': '1266161530447'",1.216
/data1/hzy/neo4j/RTP-main/build/is1,"'firstName': 'Mahinda', 'lastName': 'Perera', 'birthday': '628646400000', 'locationIP': '119.235.7.103', 'browserUsed': 'Firefox', 'cityId': '88773575', 'gender': 'male', 'creationDate': '1266161530447'",1.262
/data1/hzy/neo4j/RTP-main/build/is2,"'messageId': 27412061, 'messageCreationDate': 1283153622631, 'messageContent': About Haile Selassie I_  a future golden age of etAbout Phil Spector_ Inter, 'postId': 76988379, 'personId': , 'personFirstName': , 'personLastName':",5.624
/data1/hzy/neo4j/RTP-main/build/is2,"'messageId': 27412061, 'messageCreationDate': 1283153622631, 'messageContent': About Haile Selassie I_  a future golden age of etAbout Phil Spector_ Inter, 'postId': 76988379, 'personId': , 'personFirstName': , 'personLastName':",3.096
/data1/hzy/neo4j/RTP-main/build/is2,"'messageId': 27412061, 'messageCreationDate': 1283153622631, 'messageContent': About Haile Selassie I_  a future golden age of etAbout Phil Spector_ Inter, 'postId': 76988379, 'personId': , 'personFirstName': , 'personLastName':",2.943
/data1/hzy/neo4j/RTP-main/build/is2,"'messageId': 27412061, 'messageCreationDate': 1283153622631, 'messageContent': About Haile Selassie I_  a future golden age of etAbout Phil Spector_ Inter, 'postId': 76988379, 'personId': , 'personFirstName': , 'personLastName':",3.050
/data1/hzy/neo4j/RTP-main/build/is3,"'personId': '68794454', 'firstName': 'Marek', 'lastName': 'Zabłocki', 'friendshipCreationDate': '0'",1.377
/data1/hzy/neo4j/RTP-main/build/is3,"'personId': '68794454', 'firstName': 'Marek', 'lastName': 'Zabłocki', 'friendshipCreationDate': '0'",1.266
/data1/hzy/neo4j/RTP-main/build/is3,"'personId': '68794454', 'firstName': 'Marek', 'lastName': 'Zabłocki', 'friendshipCreationDate': '0'",1.251
/data1/hzy/neo4j/RTP-main/build/is3,"'personId': '68794454', 'firstName': 'Marek', 'lastName': 'Zabłocki', 'friendshipCreationDate': '0'",1.199
/data1/hzy/neo4j/RTP-main/build/is4,"'messageCreationDate': '1319287344031', 'messageContent': 'thanks'",1.224
/data1/hzy/neo4j/RTP-main/build/is4,"'messageCreationDate': '1319287344031', 'messageContent': 'thanks'",1.232
/data1/hzy/neo4j/RTP-main/build/is4,"'messageCreationDate': '1319287344031', 'messageContent': 'thanks'",1.293
/data1/hzy/neo4j/RTP-main/build/is4,"'messageCreationDate': '1319287344031', 'messageContent': 'thanks'",1.217
/data1/hzy/neo4j/RTP-main/build/is5,"'personId': '68732189', 'firstName': 'Manuel', 'lastName': 'Rios'",1.278
/data1/hzy/neo4j/RTP-main/build/is5,"'personId': '68732189', 'firstName': 'Manuel', 'lastName': 'Rios'",1.261
/data1/hzy/neo4j/RTP-main/build/is5,"'personId': '68732189', 'firstName': 'Manuel', 'lastName': 'Rios'",1.208
/data1/hzy/neo4j/RTP-main/build/is5,"'personId': '68732189', 'firstName': 'Manuel', 'lastName': 'Rios'",1.234
/data1/hzy/neo4j/RTP-main/build/is6,"'forumId': '67581925', 'forumTitle': 'Wall of Koji Yamamoto', 'moderatorId': '68679760', 'moderatorFirstName': 'Koji', 'moderatorLastName': 'Yamamoto'",2.960
/data1/hzy/neo4j/RTP-main/build/is6,"'forumId': '67581925', 'forumTitle': 'Wall of Koji Yamamoto', 'moderatorId': '68679760', 'moderatorFirstName': 'Koji', 'moderatorLastName': 'Yamamoto'",2.930
/data1/hzy/neo4j/RTP-main/build/is6,"'forumId': '67581925', 'forumTitle': 'Wall of Koji Yamamoto', 'moderatorId': '68679760', 'moderatorFirstName': 'Koji', 'moderatorLastName': 'Yamamoto'",2.934
/data1/hzy/neo4j/RTP-main/build/is6,"'forumId': '67581925', 'forumTitle': 'Wall of Koji Yamamoto', 'moderatorId': '68679760', 'moderatorFirstName': 'Koji', 'moderatorLastName': 'Yamamoto'",3.117
/data1/hzy/neo4j/RTP-main/build/is7,"'commentId': '19968703', 'commentContent': 'thx', 'commentCreationDate': '1327884445513', 'replyAuthorId': '68648439', 'replyAuthorFirstName': 'Koji', 'replyAuthorLastName': 'Suzuki', 'replyAuthorKnowsOriginalMessageAuthor': true",7.336
/data1/hzy/neo4j/RTP-main/build/is7,"'commentId': '19968703', 'commentContent': 'thx', 'commentCreationDate': '1327884445513', 'replyAuthorId': '68648439', 'replyAuthorFirstName': 'Koji', 'replyAuthorLastName': 'Suzuki', 'replyAuthorKnowsOriginalMessageAuthor': true",7.134
/data1/hzy/neo4j/RTP-main/build/is7,"'commentId': '19968703', 'commentContent': 'thx', 'commentCreationDate': '1327884445513', 'replyAuthorId': '68648439', 'replyAuthorFirstName': 'Koji', 'replyAuthorLastName': 'Suzuki', 'replyAuthorKnowsOriginalMessageAuthor': true",7.211
/data1/hzy/neo4j/RTP-main/build/is7,"'commentId': '19968703', 'commentContent': 'thx', 'commentCreationDate': '1327884445513', 'replyAuthorId': '68648439', 'replyAuthorFirstName': 'Koji', 'replyAuthorLastName': 'Suzuki', 'replyAuthorKnowsOriginalMessageAuthor': true",7.270
/data1/hzy/neo4j/RTP-main/build/ic1,"'friendId': '68650950', 'friendLastName': 'Aa', 'friendBirthday': '402278400000', 'friendCreationDate': '1310317356242', 'friendGender': 'male', 'friendBrowserUsed': 'Chrome', 'friendLocationIp': '81.247.36.40', 'friendEmails': None, 'friendLanguages': None, 'friendCityName': 'Brussels', 'friendUniversities': [['Université_catholique_de_Louvain', '0', 'Ottignies-Louvain-la-Neuve']], 'friendCompanies': []",1299.608
/data1/hzy/neo4j/RTP-main/build/ic1,"'friendId': '68650950', 'friendLastName': 'Aa', 'friendBirthday': '402278400000', 'friendCreationDate': '1310317356242', 'friendGender': 'male', 'friendBrowserUsed': 'Chrome', 'friendLocationIp': '81.247.36.40', 'friendEmails': None, 'friendLanguages': None, 'friendCityName': 'Brussels', 'friendUniversities': [['Université_catholique_de_Louvain', '0', 'Ottignies-Louvain-la-Neuve']], 'friendCompanies': []",252.078
/data1/hzy/neo4j/RTP-main/build/ic1,"'friendId': '68650950', 'friendLastName': 'Aa', 'friendBirthday': '402278400000', 'friendCreationDate': '1310317356242', 'friendGender': 'male', 'friendBrowserUsed': 'Chrome', 'friendLocationIp': '81.247.36.40', 'friendEmails': None, 'friendLanguages': None, 'friendCityName': 'Brussels', 'friendUniversities': [['Université_catholique_de_Louvain', '0', 'Ottignies-Louvain-la-Neuve']], 'friendCompanies': []",253.387
/data1/hzy/neo4j/RTP-main/build/ic1,"'friendId': '68650950', 'friendLastName': 'Aa', 'friendBirthday': '402278400000', 'friendCreationDate': '1310317356242', 'friendGender': 'male', 'friendBrowserUsed': 'Chrome', 'friendLocationIp': '81.247.36.40', 'friendEmails': None, 'friendLanguages': None, 'friendCityName': 'Brussels', 'friendUniversities': [['Université_catholique_de_Louvain', '0', 'Ottignies-Louvain-la-Neuve']], 'friendCompanies': []",239.369
/data1/hzy/neo4j/RTP-main/build/ic2,"'personId': '68793254', 'personFirstName': 'Carlos', 'personLastName': 'Abascal', 'postOrCommentId': '88185528', 'postOrCommentContent': ""About Rubén Blades_ term. He holds a law degree from the University of Panama and a master's in international law"", 'postOrCommentCreationDate': '1347022262600'",263.930
/data1/hzy/neo4j/RTP-main/build/ic2,"'personId': '68793254', 'personFirstName': 'Carlos', 'personLastName': 'Abascal', 'postOrCommentId': '88185528', 'postOrCommentContent': ""About Rubén Blades_ term. He holds a law degree from the University of Panama and a master's in international law"", 'postOrCommentCreationDate': '1347022262600'",3.794
/data1/hzy/neo4j/RTP-main/build/ic2,"'personId': '68793254', 'personFirstName': 'Carlos', 'personLastName': 'Abascal', 'postOrCommentId': '88185528', 'postOrCommentContent': ""About Rubén Blades_ term. He holds a law degree from the University of Panama and a master's in international law"", 'postOrCommentCreationDate': '1347022262600'",3.731
/data1/hzy/neo4j/RTP-main/build/ic2,"'personId': '68793254', 'personFirstName': 'Carlos', 'personLastName': 'Abascal', 'postOrCommentId': '88185528', 'postOrCommentContent': ""About Rubén Blades_ term. He holds a law degree from the University of Panama and a master's in international law"", 'postOrCommentCreationDate': '1347022262600'",3.988
/data1/hzy/neo4j/RTP-main/build/ic3,"'friendId': '68702079', 'friendFirstName': 'Louis', 'friendLastName': 'Aa', 'xCount': -1, 'yCount': -1, 'xyCount': -1",97.348
/data1/hzy/neo4j/RTP-main/build/ic3,"'friendId': '68702079', 'friendFirstName': 'Louis', 'friendLastName': 'Aa', 'xCount': -1, 'yCount': -1, 'xyCount': -1",37.452
/data1/hzy/neo4j/RTP-main/build/ic3,"'friendId': '68702079', 'friendFirstName': 'Louis', 'friendLastName': 'Aa', 'xCount': -1, 'yCount': -1, 'xyCount': -1",39.327
/data1/hzy/neo4j/RTP-main/build/ic3,"'friendId': '68702079', 'friendFirstName': 'Louis', 'friendLastName': 'Aa', 'xCount': -1, 'yCount': -1, 'xyCount': -1",49.978
/data1/hzy/neo4j/RTP-main/build/ic4,"'tagName': 'Robert_John_Mutt_Lange', 'postCount': 0",8.157
/data1/hzy/neo4j/RTP-main/build/ic4,"'tagName': 'Robert_John_Mutt_Lange', 'postCount': 0",3.258
/data1/hzy/neo4j/RTP-main/build/ic4,"'tagName': 'Robert_John_Mutt_Lange', 'postCount': 0",3.294
/data1/hzy/neo4j/RTP-main/build/ic4,"'tagName': 'Robert_John_Mutt_Lange', 'postCount': 0",3.559
/data1/hzy/neo4j/RTP-main/build/ic5,"'forumName': 'Album 8 of Albert Aa'), 'postCount': 19",5518.254
/data1/hzy/neo4j/RTP-main/build/ic5,"'forumName': 'Album 8 of Albert Aa'), 'postCount': 19",462.253
/data1/hzy/neo4j/RTP-main/build/ic5,"'forumName': 'Album 8 of Albert Aa'), 'postCount': 19",458.177
/data1/hzy/neo4j/RTP-main/build/ic5,"'forumName': 'Album 8 of Albert Aa'), 'postCount': 19",467.666
/data1/hzy/neo4j/RTP-main/build/ic6,"'tagName': '1st_Born_Second', 'postCount': 0",641.374
/data1/hzy/neo4j/RTP-main/build/ic6,"'tagName': '1st_Born_Second', 'postCount': 0",4.526
/data1/hzy/neo4j/RTP-main/build/ic6,"'tagName': '1st_Born_Second', 'postCount': 0",4.285
/data1/hzy/neo4j/RTP-main/build/ic6,"'tagName': '1st_Born_Second', 'postCount': 0",4.266
/data1/hzy/neo4j/RTP-main/build/ic7,"'personId': '68633216', 'personFirstName': 'Charles', 'personLastName': 'Smith', 'likeCreationDate': '0', 'commentOrPostId': '69743481', 'commentOrPostContent': 'About Imelda Marcos_ ios Visitasion RoAbout Leon Trotsky_ never rehabilitatAbout Isaac Hayes_ ries South Park. A', 'minutesLatency': -87776688, 'isNew': true",21.752
/data1/hzy/neo4j/RTP-main/build/ic7,"'personId': '68633216', 'personFirstName': 'Charles', 'personLastName': 'Smith', 'likeCreationDate': '0', 'commentOrPostId': '69743481', 'commentOrPostContent': 'About Imelda Marcos_ ios Visitasion RoAbout Leon Trotsky_ never rehabilitatAbout Isaac Hayes_ ries South Park. A', 'minutesLatency': -87776688, 'isNew': true",4.940
/data1/hzy/neo4j/RTP-main/build/ic7,"'personId': '68633216', 'personFirstName': 'Charles', 'personLastName': 'Smith', 'likeCreationDate': '0', 'commentOrPostId': '69743481', 'commentOrPostContent': 'About Imelda Marcos_ ios Visitasion RoAbout Leon Trotsky_ never rehabilitatAbout Isaac Hayes_ ries South Park. A', 'minutesLatency': -87776688, 'isNew': true",4.994
/data1/hzy/neo4j/RTP-main/build/ic7,"'personId': '68633216', 'personFirstName': 'Charles', 'personLastName': 'Smith', 'likeCreationDate': '0', 'commentOrPostId': '69743481', 'commentOrPostContent': 'About Imelda Marcos_ ios Visitasion RoAbout Leon Trotsky_ never rehabilitatAbout Isaac Hayes_ ries South Park. A', 'minutesLatency': -87776688, 'isNew': true",5.208
/data1/hzy/neo4j/RTP-main/build/ic8,"'personId': '68631072', 'personFirstName': 'Denis', 'personLastName': 'Abrahams', 'commentCreationDate': '1336666267750', 'commentId': '3079046', 'commentContent': 'About Abraham Lincoln_ y_ and helping push through ConAbout Come Home with Me_ Diplomats_ '",21.325
/data1/hzy/neo4j/RTP-main/build/ic8,"'personId': '68631072', 'personFirstName': 'Denis', 'personLastName': 'Abrahams', 'commentCreationDate': '1336666267750', 'commentId': '3079046', 'commentContent': 'About Abraham Lincoln_ y_ and helping push through ConAbout Come Home with Me_ Diplomats_ '",4.891
/data1/hzy/neo4j/RTP-main/build/ic8,"'personId': '68631072', 'personFirstName': 'Denis', 'personLastName': 'Abrahams', 'commentCreationDate': '1336666267750', 'commentId': '3079046', 'commentContent': 'About Abraham Lincoln_ y_ and helping push through ConAbout Come Home with Me_ Diplomats_ '",4.846
/data1/hzy/neo4j/RTP-main/build/ic8,"'personId': '68631072', 'personFirstName': 'Denis', 'personLastName': 'Abrahams', 'commentCreationDate': '1336666267750', 'commentId': '3079046', 'commentContent': 'About Abraham Lincoln_ y_ and helping push through ConAbout Come Home with Me_ Diplomats_ '",4.887
