执行程序,查询结果,总共耗时(秒)
/data1/hzy/neo4j/RTP-main/build/is1p,"'firstName': 'Mahinda', 'lastName': 'Perera', 'birthday': '628646400000', 'locationIP': '119.235.7.103', 'browserUsed': 'Firefox', 'cityId': '88773575', 'gender': 'male', 'creationDate': '1266161530447'",1.308
/data1/hzy/neo4j/RTP-main/build/is1p,"'firstName': 'Mahinda', 'lastName': 'Perera', 'birthday': '628646400000', 'locationIP': '119.235.7.103', 'browserUsed': 'Firefox', 'cityId': '88773575', 'gender': 'male', 'creationDate': '1266161530447'",1.260
/data1/hzy/neo4j/RTP-main/build/is1p,"'firstName': 'Mahinda', 'lastName': 'Perera', 'birthday': '628646400000', 'locationIP': '119.235.7.103', 'browserUsed': 'Firefox', 'cityId': '88773575', 'gender': 'male', 'creationDate': '1266161530447'",1.168
/data1/hzy/neo4j/RTP-main/build/is1p,"'firstName': 'Mahinda', 'lastName': 'Perera', 'birthday': '628646400000', 'locationIP': '119.235.7.103', 'browserUsed': 'Firefox', 'cityId': '88773575', 'gender': 'male', 'creationDate': '1266161530447'",1.199
/data1/hzy/neo4j/RTP-main/build/is2p,"'messageId': 26733678, 'messageCreationDate': 1342485496306, 'messageContent': good, 'postId': 76794427, 'personId': 68696360, 'personFirstName': Zbigniew, 'personLastName': Nowak",3.835
/data1/hzy/neo4j/RTP-main/build/is2p,"'messageId': 26733678, 'messageCreationDate': 1342485496306, 'messageContent': good, 'postId': 76794427, 'personId': 68696360, 'personFirstName': Zbigniew, 'personLastName': Nowak",1.194
/data1/hzy/neo4j/RTP-main/build/is2p,"'messageId': 26733678, 'messageCreationDate': 1342485496306, 'messageContent': good, 'postId': 76794427, 'personId': 68696360, 'personFirstName': Zbigniew, 'personLastName': Nowak",1.473
/data1/hzy/neo4j/RTP-main/build/is2p,"'messageId': 26733678, 'messageCreationDate': 1342485496306, 'messageContent': good, 'postId': 76794427, 'personId': 68696360, 'personFirstName': Zbigniew, 'personLastName': Nowak",1.145
/data1/hzy/neo4j/RTP-main/build/is3p,"'personId': '68794454', 'firstName': 'Marek', 'lastName': 'Zabłocki', 'friendshipCreationDate': '0'",1.324
/data1/hzy/neo4j/RTP-main/build/is3p,"'personId': '68794454', 'firstName': 'Marek', 'lastName': 'Zabłocki', 'friendshipCreationDate': '0'",1.169
/data1/hzy/neo4j/RTP-main/build/is3p,"'personId': '68794454', 'firstName': 'Marek', 'lastName': 'Zabłocki', 'friendshipCreationDate': '0'",1.216
/data1/hzy/neo4j/RTP-main/build/is3p,"'personId': '68794454', 'firstName': 'Marek', 'lastName': 'Zabłocki', 'friendshipCreationDate': '0'",1.162
/data1/hzy/neo4j/RTP-main/build/is4p,"'messageCreationDate': '1319287344031', 'messageContent': 'thanks'",1.279
/data1/hzy/neo4j/RTP-main/build/is4p,"'messageCreationDate': '1319287344031', 'messageContent': 'thanks'",1.189
/data1/hzy/neo4j/RTP-main/build/is4p,"'messageCreationDate': '1319287344031', 'messageContent': 'thanks'",1.175
/data1/hzy/neo4j/RTP-main/build/is4p,"'messageCreationDate': '1319287344031', 'messageContent': 'thanks'",1.189
/data1/hzy/neo4j/RTP-main/build/is5p,"'personId': '68732189', 'firstName': 'Manuel', 'lastName': 'Rios'",1.264
/data1/hzy/neo4j/RTP-main/build/is5p,"'personId': '68732189', 'firstName': 'Manuel', 'lastName': 'Rios'",1.193
/data1/hzy/neo4j/RTP-main/build/is5p,"'personId': '68732189', 'firstName': 'Manuel', 'lastName': 'Rios'",1.166
/data1/hzy/neo4j/RTP-main/build/is5p,"'personId': '68732189', 'firstName': 'Manuel', 'lastName': 'Rios'",1.194
/data1/hzy/neo4j/RTP-main/build/is6p,"'forumId': '67581925', 'forumTitle': 'Wall of Koji Yamamoto', 'moderatorId': '68679760', 'moderatorFirstName': 'Koji', 'moderatorLastName': 'Yamamoto'",2.193
/data1/hzy/neo4j/RTP-main/build/is6p,"'forumId': '67581925', 'forumTitle': 'Wall of Koji Yamamoto', 'moderatorId': '68679760', 'moderatorFirstName': 'Koji', 'moderatorLastName': 'Yamamoto'",2.043
/data1/hzy/neo4j/RTP-main/build/is6p,"'forumId': '67581925', 'forumTitle': 'Wall of Koji Yamamoto', 'moderatorId': '68679760', 'moderatorFirstName': 'Koji', 'moderatorLastName': 'Yamamoto'",2.183
/data1/hzy/neo4j/RTP-main/build/is6p,"'forumId': '67581925', 'forumTitle': 'Wall of Koji Yamamoto', 'moderatorId': '68679760', 'moderatorFirstName': 'Koji', 'moderatorLastName': 'Yamamoto'",2.079
