执行程序,查询结果,总共耗时(秒)
/data1/hzy/neo4j/RTP-main/build/is1o,"'firstName': 'Jie', 'lastName': 'Xu', 'birthday': '357523200000', 'locationIP': '1.2.14.168', 'browserUsed': 'Internet Explorer', 'cityId': '495', 'gender': 'male', 'creationDate': '1265592912378'",2.974
/data1/hzy/neo4j/RTP-main/build/is1o,"'firstName': 'Jie', 'lastName': 'Xu', 'birthday': '357523200000', 'locationIP': '1.2.14.168', 'browserUsed': 'Internet Explorer', 'cityId': '495', 'gender': 'male', 'creationDate': '1265592912378'",1.329
/data1/hzy/neo4j/RTP-main/build/is1o,"'firstName': 'Jie', 'lastName': 'Xu', 'birthday': '357523200000', 'locationIP': '1.2.14.168', 'browserUsed': 'Internet Explorer', 'cityId': '495', 'gender': 'male', 'creationDate': '1265592912378'",1.339
/data1/hzy/neo4j/RTP-main/build/is1o,"'firstName': 'Jie', 'lastName': 'Xu', 'birthday': '357523200000', 'locationIP': '1.2.14.168', 'browserUsed': 'Internet Explorer', 'cityId': '495', 'gender': 'male', 'creationDate': '1265592912378'",1.330
/data1/hzy/neo4j/RTP-main/build/is2o,"'messageId': '21990350844025', 'messageCreationDate': '1319528085180', 'messageContent': 'About Charles V', 'postId': '21990350844012', 'personId': '19791209343744', 'personFirstName': 'David', 'personLastName': 'Alcalde'",3.941
/data1/hzy/neo4j/RTP-main/build/is2o,"'messageId': '21990350844025', 'messageCreationDate': '1319528085180', 'messageContent': 'About Charles V', 'postId': '21990350844012', 'personId': '19791209343744', 'personFirstName': 'David', 'personLastName': 'Alcalde'",4.129
/data1/hzy/neo4j/RTP-main/build/is2o,"'messageId': '21990350844025', 'messageCreationDate': '1319528085180', 'messageContent': 'About Charles V', 'postId': '21990350844012', 'personId': '19791209343744', 'personFirstName': 'David', 'personLastName': 'Alcalde'",4.195
/data1/hzy/neo4j/RTP-main/build/is2o,"'messageId': '21990350844025', 'messageCreationDate': '1319528085180', 'messageContent': 'About Charles V', 'postId': '21990350844012', 'personId': '19791209343744', 'personFirstName': 'David', 'personLastName': 'Alcalde'",4.431
/data1/hzy/neo4j/RTP-main/build/is3o,"'personId': '158923', 'firstName': 'Zbigniew', 'lastName': 'Kaczmarek', 'friendshipCreationDate': '1265737461046'",1.741
/data1/hzy/neo4j/RTP-main/build/is3o,"'personId': '158923', 'firstName': 'Zbigniew', 'lastName': 'Kaczmarek', 'friendshipCreationDate': '1265737461046'",1.763
/data1/hzy/neo4j/RTP-main/build/is3o,"'personId': '158923', 'firstName': 'Zbigniew', 'lastName': 'Kaczmarek', 'friendshipCreationDate': '1265737461046'",1.666
/data1/hzy/neo4j/RTP-main/build/is3o,"'personId': '158923', 'firstName': 'Zbigniew', 'lastName': 'Kaczmarek', 'friendshipCreationDate': '1265737461046'",1.585
/data1/hzy/neo4j/RTP-main/build/is4o,,1.687
/data1/hzy/neo4j/RTP-main/build/is4o,,1.453
/data1/hzy/neo4j/RTP-main/build/is4o,,1.460
/data1/hzy/neo4j/RTP-main/build/is4o,,1.451
/data1/hzy/neo4j/RTP-main/build/is5o,,1.427
/data1/hzy/neo4j/RTP-main/build/is5o,,1.611
/data1/hzy/neo4j/RTP-main/build/is5o,,1.552
/data1/hzy/neo4j/RTP-main/build/is5o,,1.747
/data1/hzy/neo4j/RTP-main/build/is6o,,3.884
/data1/hzy/neo4j/RTP-main/build/is6o,,3.979
/data1/hzy/neo4j/RTP-main/build/is6o,,4.103
/data1/hzy/neo4j/RTP-main/build/is6o,,3.893
/data1/hzy/neo4j/RTP-main/build/is7o,,5.356
/data1/hzy/neo4j/RTP-main/build/is7o,,5.768
/data1/hzy/neo4j/RTP-main/build/is7o,,5.134
/data1/hzy/neo4j/RTP-main/build/is7o,,5.558
/data1/hzy/neo4j/RTP-main/build/ic1o,"'friendId': '97873', 'friendLastName': ""Glazer-Ta'asa"", 'friendBirthday': '481593600000', 'friendCreationDate': '1266145398687', 'friendGender': 'male', 'friendBrowserUsed': 'Firefox', 'friendLocationIp': '109.74.33.122', 'friendEmails': None, 'friendLanguages': None, 'friendCityName': 'Luanda', 'friendUniversities': [['Queen_Arwa_University', '2006', ""Sana'a""]], 'friendCompanies': [[null]]",6.134
