执行程序,查询结果,总共耗时(秒)
/data1/hzy/neo4j/RTP-main/build/is1o,"'firstName': 'Jie', 'lastName': 'Xu', 'birthday': '357523200000', 'locationIP': '1.2.14.168', 'browserUsed': 'Internet Explorer', 'cityId': '495', 'gender': 'male', 'creationDate': '1265592912378'",7.808
/data1/hzy/neo4j/RTP-main/build/is1o,"'firstName': 'Jie', 'lastName': 'Xu', 'birthday': '357523200000', 'locationIP': '1.2.14.168', 'browserUsed': 'Internet Explorer', 'cityId': '495', 'gender': 'male', 'creationDate': '1265592912378'",8.888
/data1/hzy/neo4j/RTP-main/build/is1o,"'firstName': 'Jie', 'lastName': 'Xu', 'birthday': '357523200000', 'locationIP': '1.2.14.168', 'browserUsed': 'Internet Explorer', 'cityId': '495', 'gender': 'male', 'creationDate': '1265592912378'",8.775
/data1/hzy/neo4j/RTP-main/build/is1o,"'firstName': 'Jie', 'lastName': 'Xu', 'birthday': '357523200000', 'locationIP': '1.2.14.168', 'browserUsed': 'Internet Explorer', 'cityId': '495', 'gender': 'male', 'creationDate': '1265592912378'",9.630
/data1/hzy/neo4j/RTP-main/build/is2o,"'messageId': '30786362565333', 'messageCreationDate': '1337660931577', 'messageContent': 'good', 'postId': '30786362565328', 'personId': '24189255914140', 'personFirstName': 'Emil', 'personLastName': 'Borel'",12.124
/data1/hzy/neo4j/RTP-main/build/is2o,"'messageId': '30786362565333', 'messageCreationDate': '1337660931577', 'messageContent': 'good', 'postId': '30786362565328', 'personId': '24189255914140', 'personFirstName': 'Emil', 'personLastName': 'Borel'",10.990
/data1/hzy/neo4j/RTP-main/build/is2o,"'messageId': '30786362565333', 'messageCreationDate': '1337660931577', 'messageContent': 'good', 'postId': '30786362565328', 'personId': '24189255914140', 'personFirstName': 'Emil', 'personLastName': 'Borel'",10.719
/data1/hzy/neo4j/RTP-main/build/is2o,"'messageId': '30786362565333', 'messageCreationDate': '1337660931577', 'messageContent': 'good', 'postId': '30786362565328', 'personId': '24189255914140', 'personFirstName': 'Emil', 'personLastName': 'Borel'",10.047
/data1/hzy/neo4j/RTP-main/build/is3o,"'personId': '158923', 'firstName': 'Zbigniew', 'lastName': 'Kaczmarek', 'friendshipCreationDate': '1265737461046'",8.513
/data1/hzy/neo4j/RTP-main/build/is3o,"'personId': '158923', 'firstName': 'Zbigniew', 'lastName': 'Kaczmarek', 'friendshipCreationDate': '1265737461046'",7.945
